.id,purchase_method
4134,receive
4228,receive
4227,receive
4167,receive
4126,receive
4148,receive
3981,receive
3568,receive
3569,receive
4026,receive
3571,receive
3572,receive
4037,receive
4154,receive
4041,receive
4028,receive
4040,receive
4022,receive
3573,receive
4036,receive
3924,receive
4163,receive
3909,receive
3927,receive
4077,receive
3939,receive
3915,receive
4136,receive
3803,receive
3575,receive
4294,receive
3576,receive
3579,receive
3829,receive
3940,receive
3543,receive
4142,receive
3814,receive
3790,receive
3804,receive
4322,receive
4243,receive
3594,receive
4303,receive
3545,receive
4308,receive
4310,receive
4242,receive
3602,receive
3805,receive
3815,receive
3807,receive
3830,receive
3791,receive
3819,receive
3990,receive
3991,receive
4144,receive
3603,receive
3604,receive
3992,receive
4277,receive
4213,receive
3605,receive
3607,receive
3609,receive
3610,receive
3993,receive
3994,receive
3611,receive
3945,receive
3614,receive
3943,receive
3617,receive
3619,receive
3933,receive
3865,receive
3624,receive
3625,receive
3627,receive
3628,receive
4079,receive
3631,receive
3632,receive
4023,receive
3633,receive
3635,receive
3636,receive
3637,receive
3639,receive
3640,receive
3642,receive
3876,receive
3644,receive
4145,receive
3999,receive
4000,receive
4001,receive
3648,receive
3650,receive
3651,receive
3652,receive
3881,receive
3653,receive
3655,receive
4160,receive
4246,receive
3657,receive
3659,receive
3660,receive
3662,receive
3837,receive
4178,receive
4043,receive
4066,receive
4278,receive
4220,receive
3664,receive
4304,receive
4305,receive
4312,receive
4307,receive
3675,receive
3678,receive
4237,receive
4293,receive
4147,receive
4250,receive
3834,receive
4003,receive
4118,receive
4004,receive
4006,receive
4007,receive
4008,receive
4009,receive
3704,receive
4027,receive
4042,receive
4029,receive
4033,receive
4044,receive
4076,receive
3706,receive
3922,receive
4230,receive
4128,receive
4119,receive
4121,receive
4120,receive
4209,receive
4011,receive
4012,receive
3861,receive
4030,receive
3866,receive
3942,receive
3816,receive
3938,receive
3785,receive
4251,receive
4034,receive
3875,receive
3712,receive
3713,receive
3714,receive
3715,receive
4015,receive
3921,receive
3718,receive
3566,receive
4285,receive
3720,receive
4130,receive
4131,receive
3871,receive
3908,receive
4153,receive
3846,receive
3914,receive
3962,receive
3937,receive
3926,receive
3732,receive
3737,receive
3869,receive
3911,receive
4180,receive
4311,receive
4017,receive
3794,receive
4197,receive
3808,receive
3897,receive
4018,receive
3806,receive
3831,receive
3792,receive
3820,receive
3802,receive
3904,receive
4328,receive
4319,receive
3796,receive
4266,receive
4138,receive
3853,receive
3918,receive
3839,receive
3878,receive
3954,receive
4219,receive
3901,receive
3893,receive
3774,receive
4211,receive
4261,receive
4125,receive
4184,receive
4236,receive
