.id,invoice_policy
4167,delivery
3939,delivery
3610,delivery
3993,delivery
3617,delivery
3619,delivery
3951,delivery
3933,delivery
3625,delivery
3627,delivery
3628,delivery
4079,delivery
3631,delivery
3635,delivery
3636,delivery
3637,delivery
3639,delivery
3642,delivery
3876,delivery
3644,delivery
3648,delivery
3655,delivery
4246,delivery
3837,delivery
4118,delivery
4004,delivery
4006,delivery
4007,delivery
3703,delivery
4008,delivery
4033,delivery
4119,delivery
4121,delivery
4120,delivery
4209,delivery
4011,delivery
